"obs","island","sagrei.present","sagrei.type","species","sex","svl","morph.good","mass","head.ht","hindlimb.phalanx","hindlimb.metatarsal","tibia","fibula","femur","pelvis.width","metacarpal","ulna","radius","humerus","shoulder.width","leg.length","opening.inlever","closing.inlever","whole.head","outlever","snout.plus.eye","snout","real.eye.length","frontal.parietal.to.snout","braincase.width","head.width.retroarticulars","head.width.jugals","head.width.quadrates","snout.width.eye","real.lower.jaw.length","real.quadrate.to.symphisis","real.jugal.to.symphasis","real.orbit.to.symphysis"
"S057","hook",1,2,"carolinensis","m",57.78,1,3.3,6.2,3.482,5.834,8.897,8.645,11.271,4.661,2.458,6.895,6.365,8.805,6.038,29.484,1.515,3.74,15.638,14.123,10.384,5.465,5.312,11.689,2.33,7.308,8.697,8.745,4.685,16.059,14.785,11.258,5.946
"S058","hook",1,2,"carolinensis","f",48.99,1,2.1,5.04,2.777,4.557,7.124,7.092,8.659,4.968,1.851,5.412,4.622,6.971,5.429,23.117,1.055,2.399,11.695,10.64,8.241,4.12,4.371,8.173,2.694,6.641,7.014,7.232,4.108,12.157,11.238,8.956,4.604
"S060","hook",1,2,"carolinensis","m",55.19,1,3.2,6.12,3.219,5.281,8.284,8.327,10.894,4.944,2.139,6.446,5.521,8.431,6.041,27.678,1.485,3.08,14.68,13.195,10.115,5.062,5.535,10.322,2.095,7.477,8.819,8.485,4.346,15.148,13.86,11.034,5.509
"S061","hook",1,2,"carolinensis","f",45.38,1,1.7,4.59,2.715,4.258,6.694,6.525,8.285,4.435,1.681,4.964,4.279,6.542,5.233,21.952,1.204,2.257,11.645,10.442,8.185,3.922,4.472,8.44,2.194,5.527,6.415,6.624,3.716,11.969,10.955,8.791,4.34
"S062","yang",1,2,"carolinensis","f",49.86,1,2.4,4.86,2.874,4.026,6.681,6.648,8.734,4.686,1.689,5.144,4.562,7.083,5.259,22.315,0.975,2.46,11.685,10.71,8.249,3.905,4.673,8.822,2.563,5.321,7.079,6.87,3.639,11.984,11.247,8.977,4.308
"S063","yang",1,2,"carolinensis","m",57.59,1,3.5,6.71,3.465,5.529,8.695,8.62,10.642,5.424,2.539,6.677,5.881,9.067,6.221,28.331,1.699,3.454,16.917,15.218,11.764,6.359,5.873,11.435,2.549,7.775,9.246,9.51,4.661,17.358,15.943,12.64,6.772
"S065","yang",1,2,"carolinensis","m",57.28,1,3.3,6.12,3.471,5.464,8.864,8.661,11.353,5.22,2.166,6.765,5.733,9.225,5.601,29.152,1.577,3.598,16.768,15.191,11.593,6.159,5.804,11.552,2.342,6.941,8.817,8.611,4.736,17.123,15.79,12.403,6.599
"S066","yang",1,2,"carolinensis","m",59.65,1,3.3,5.8,3.488,5.466,9.043,9.044,11.494,4.915,2.434,6.638,5.9,9.002,5.657,29.491,1.433,3.369,16.26,14.828,11.458,6.136,5.753,11.335,2.352,7.501,8.983,8.552,4.615,16.687,15.432,12.307,6.555
"S068","n.twin",1,2,"carolinensis","m",58.13,1,3.9,6.34,3.599,5.546,8.944,8.782,11.184,4.99,2.274,6.795,6.086,8.973,6.802,29.273,1.6,3.705,16.418,14.819,11.114,5.772,5.781,11.468,2.159,6.991,9.181,8.838,4.762,16.786,15.463,12.025,6.243
"S074","n.twin",1,2,"carolinensis","m",60.17,1,3.7,6.28,3.661,6.132,9.637,9.578,12.172,5.296,2.343,7.392,6.286,9.847,6.353,31.602,1.844,3.767,17.594,15.749,11.982,6.54,5.912,11.658,2.108,7.74,9.432,9.306,4.818,18.014,16.422,12.877,6.97
"S075","n.twin",1,2,"carolinensis","m",58.04,1,3.2,5.98,3.854,6.027,9.207,9.203,11.746,4.985,2.296,6.843,6.305,9.441,6.195,30.834,1.781,3.33,16.376,14.596,11.266,5.975,5.68,10.885,2.16,7.813,9.029,8.878,4.895,16.836,15.256,12.137,6.457
"S077","n.twin",1,2,"carolinensis","m",59.82,1,3.5,6.48,3.556,5.769,8.844,8.865,11.064,5.134,2.252,6.8,5.915,9.24,6.208,29.233,2.045,3.839,17.932,15.888,12.048,6.377,6.166,12.28,2.091,6.703,9.568,9.216,4.729,18.243,16.542,12.963,6.801
"S078","n.twin",1,2,"carolinensis","m",61.68,1,4,6.5,3.833,5.894,9.442,9.524,11.954,5.33,2.658,7.042,6.102,9.671,6.397,31.123,1.789,3.707,17.401,15.612,11.905,6.349,6.204,11.845,2.812,7.977,9.969,9.584,4.56,17.852,16.331,12.906,6.746
"S079","s.twin",0,0,"carolinensis","m",57.43,1,3.2,5.88,3.405,5.539,8.666,8.584,11.143,4.73,2.328,6.66,5.881,8.854,5.37,28.753,1.746,3.591,16.323,14.578,10.986,5.964,5.491,10.974,2.289,7.625,9.066,8.711,4.638,16.763,15.214,11.885,6.399
"S085","s.twin",0,0,"carolinensis","m",57.03,1,3.6,6.2,3.239,5.467,8.517,8.851,10.607,5.11,2.214,6.967,5.974,8.661,5.868,27.83,1.961,3.595,16.763,14.802,11.207,5.766,5.866,11.403,2.214,6.929,9.078,8.779,4.7,17.118,15.439,12.092,6.227
"S087","s.twin",0,0,"carolinensis","f",44.51,1,1.7,4.36,2.447,4.012,6.716,6.711,8.515,3.806,1.618,4.996,4.314,6.884,4.686,21.69,1.129,2.386,11.405,10.277,7.89,3.968,4.125,8.529,2.215,4.737,5.978,6.476,3.434,11.648,10.775,8.438,4.323
"S091","s.twin",0,0,"carolinensis","f",46.24,1,1.8,4.75,2.725,4.342,6.886,6.643,8.606,4.08,1.841,5.193,4.482,7.175,4.689,22.559,0.862,2.08,11.24,10.378,8.297,3.995,4.494,8.187,2.316,5.257,6.488,6.549,3.89,11.543,10.882,8.909,4.443
"S092","s.twin",0,0,"carolinensis","m",55.93,1,2.8,5.86,3.072,5.27,8.394,8.519,10.424,4.42,2.029,6.666,6.015,8.363,5.799,27.16,1.684,3.46,16.264,14.58,11.12,6.085,5.442,10.88,2.326,6.538,8.686,8.342,4.56,16.589,15.165,11.938,6.498
"S093","lizard",1,1,"carolinensis","m",61.05,1,4.3,6.64,3.479,5.914,9.359,9.157,10.881,5.245,2.266,7.102,6.245,9.097,6.283,29.633,1.832,3.709,16.704,14.871,11.162,6.087,5.561,11.288,2.268,7.5,9.228,9.149,4.686,17.119,15.559,12.078,6.523
"S094","lizard",1,1,"carolinensis","m",58.12,1,3.6,5.97,3.419,5.643,8.924,8.991,11.017,4.721,2.063,6.696,6.025,9.287,6.128,29.003,1.766,3.471,16.992,15.225,11.755,6.433,5.687,11.668,2.257,7.069,8.73,8.432,4.728,17.355,15.798,12.539,6.854
"S096","lizard",1,1,"carolinensis","m",59.39,1,3.6,6.49,3.421,5.789,9.389,9.435,11.297,5.188,2.435,7.318,6.462,9.429,6.002,29.896,1.52,3.71,16.811,15.291,11.581,6.525,5.588,11.515,2.352,7.764,9.058,9.033,4.306,17.254,15.945,12.435,6.871
"S098","lizard",1,1,"carolinensis","m",56.37,1,3.2,5.73,3.48,5.294,8.341,8.342,10.262,4.603,2.192,6.581,5.802,8.563,6.15,27.377,1.925,3.358,16.084,14.159,10.801,5.841,5.514,11.504,2.095,7.735,8.788,8.964,3.98,16.542,14.851,11.66,6.17
"S099","lizard",1,1,"carolinensis","m",57.96,1,3.4,6.27,3.319,5.228,8.595,8.455,10.823,5.104,2.291,6.666,5.981,9.125,5.79,27.965,1.704,3.333,15.941,14.236,10.903,5.878,5.419,11.257,2.159,7.466,8.552,8.437,4.517,16.372,14.848,11.712,6.297
"S100","lizard",1,1,"carolinensis","f",46.47,1,1.7,4.46,2.651,4.416,6.859,6.804,8.6,3.974,1.71,5.315,4.608,7.199,4.337,22.526,1.127,2.14,11.465,10.338,8.199,4.14,4.292,8.068,2.483,5.522,6.501,6.664,3.709,11.793,10.862,8.82,4.537
"S101","lizard",1,1,"carolinensis","m",59.84,1,3.8,6.18,3.555,5.807,9.478,9.688,11.246,4.597,2.426,7.255,6.391,9.397,7.882,30.086,1.553,3.437,16.363,14.81,11.373,6.047,5.668,11.829,2.782,8.27,9.163,9.356,5.28,16.878,15.531,12.261,6.599
"S105","lizard",1,1,"carolinensis","f",48.34,1,2.3,4.96,3.07,4.472,7.405,7.309,9.313,4.496,1.813,5.528,4.896,7.712,5.1,24.26,1.14,2.471,11.863,10.723,8.251,3.972,4.554,8.847,2.245,5.154,6.942,6.773,3.829,12.14,11.245,8.952,4.409
"S113","osprey",0,0,"carolinensis","f",45.64,1,1.9,4.46,2.698,4.292,6.683,6.6,8.556,4.23,1.724,5.158,4.602,6.883,4.915,22.229,1.15,2.406,11.436,10.286,7.88,3.875,4.24,8.946,2.342,4.857,6.518,6.645,3.752,11.691,10.809,8.527,4.305
"S114","osprey",0,0,"carolinensis","m",54.78,1,2.9,5.61,3.183,5.213,8.217,7.925,10.259,4.722,1.917,5.985,5.55,8.229,5.475,26.872,1.213,3.322,15.918,14.705,11.383,6.048,5.662,11.425,2.172,6.173,8.584,7.914,4.793,16.215,15.228,12.166,6.506
"S117","osprey",0,0,"carolinensis","f",44.8,1,1.7,4.35,2.621,3.99,6.445,6.4,8.316,4.21,1.498,5.192,4.451,6.614,4.39,21.372,0.976,2.122,10.707,9.731,7.609,3.77,4.026,8.687,2.294,4.716,6.197,6.131,3.773,10.964,10.202,8.216,4.216
"S118","osprey",0,0,"carolinensis","m",50.45,1,2.1,5.39,3.288,4.776,7.957,7.838,10.027,4.243,1.785,6.007,5.305,7.885,4.705,26.048,1.416,3.025,14.492,13.076,10.052,5.547,4.806,9.565,2.221,6.313,7.582,7.661,4.229,14.832,13.626,10.743,5.936
"S120","osprey",0,0,"carolinensis","m",54.45,1,2.8,5.76,3.418,5.392,8.521,8.44,10.436,4.785,2.028,6.569,5.585,8.555,5.626,27.767,1.448,3.433,15.999,14.551,11.118,6.268,5.135,10.712,2.025,6.67,8.351,8.486,4.983,16.343,15.157,11.877,6.745
"S121","osprey",0,0,"carolinensis","m",53.02,1,2.8,6.04,3.314,5.503,8.382,8.216,10.843,4.827,2.05,6.563,5.738,8.347,5.454,28.042,1.466,3.561,15.778,14.312,10.75,5.809,5.283,10.857,2.499,6.915,8.285,8.343,4.552,16.152,14.907,11.521,6.239
"S127","yang",1,2,"carolinensis","m",56.61,1,2.9,5.62,3.211,5.217,8.572,8.505,10.843,4.731,2.2,6.309,5.549,8.207,5.548,27.843,1.683,3.199,15.589,13.906,10.708,5.454,5.628,11.314,2.559,7.483,8.756,8.553,4.716,16.032,14.549,11.568,5.942
"S129","yang",1,2,"carolinensis","m",50.27,1,2.1,5.28,3.051,4.892,7.707,7.703,10.156,4.382,1.829,5.921,5.253,8.031,5.055,25.806,0.775,2.966,13.132,12.357,9.391,5.018,4.714,9.765,2.428,5.927,7.758,7.744,4.247,13.462,12.95,10.161,5.448
"S131","yang",1,2,"carolinensis","m",55.95,1,3,5.55,3.54,5.265,8.506,8.232,10.602,4.704,2.135,6.683,5.715,8.689,5.622,27.913,1.621,3.167,16.122,14.501,11.333,5.797,5.871,11.326,2.5,6.89,8.905,8.36,5,16.486,15.091,12.177,6.313
"S132","yang",1,2,"carolinensis","f",46.58,1,1.9,4.47,2.541,4.358,6.613,6.517,8.566,4.442,1.486,4.991,4.4,6.874,4.728,22.078,0.925,2.071,11.293,10.368,8.297,4.002,4.524,7.661,2.352,5.098,6.477,6.552,3.645,11.577,10.873,8.907,4.398
"S135","yang",1,2,"carolinensis","m",52.81,1,2.8,5.72,3.5,5.427,8.474,8.247,10.78,4.596,2.226,6.135,5.472,8.808,5.709,28.181,1.62,3.236,15.276,13.656,10.42,5.285,5.576,10.606,2.389,6.779,8.734,8.268,4.39,15.647,14.268,11.298,5.723
"S141","crescent",0,0,"carolinensis","f",50.32,1,2.3,4.85,2.886,4.571,7.383,7.22,9.205,5.103,1.702,5.694,4.837,7.295,5.048,24.045,1.225,2.523,12.804,11.579,9.055,4.49,4.853,9.791,2.539,6.488,7.165,7.464,3.89,13.208,12.165,9.738,4.893
"S143","crescent",0,0,"carolinensis","m",61.24,1,4.4,6.62,3.719,5.732,8.82,8.84,11.267,5.457,2.173,6.796,5.733,9.039,6.746,29.538,1.909,3.638,17.892,15.983,12.345,6.537,6.219,13.089,2.762,6.933,9.523,9.163,5.087,18.225,16.626,13.231,7.014
"S146","crescent",0,0,"carolinensis","m",58.84,1,3.9,6.18,3.3,5.527,8.655,8.706,10.936,5.162,2.359,6.776,6.101,9.063,6.426,28.418,1.695,3.611,16.727,15.032,11.421,5.8,6.085,11.935,2.248,7.561,9.658,8.771,5.012,17.149,15.658,12.4,6.318
"S147","crescent",0,0,"carolinensis","m",60.39,1,4.3,6.58,3.76,5.64,8.655,8.79,11.011,5.548,2.29,6.769,5.798,9.04,6.33,29.066,1.758,3.593,17.209,15.451,11.858,6.245,6.045,11.543,2.14,7.422,9.488,9.247,4.998,17.605,16.128,12.772,6.727
"S148","crescent",0,0,"carolinensis","m",58.42,1,3.5,5.94,3.016,5.591,9.042,8.999,11.107,4.848,2.358,6.774,5.833,9.003,6.203,28.756,1.798,3.545,17.468,15.67,12.125,6.588,5.865,12.165,2.077,7.418,8.74,9.29,4.906,17.857,16.344,12.888,7.03
"S150","n.twin",1,2,"carolinensis","f",49.5,1,2.3,5.09,3.071,4.856,7.306,7.22,9.776,4.785,1.822,5.525,4.82,7.635,6.038,25.009,1.299,2.64,12.754,11.455,8.814,4.407,4.708,9.071,2.428,6.133,7.329,7.077,4.051,13.117,11.989,9.546,4.851
"S151","n.twin",1,2,"carolinensis","m",62.58,1,4.7,7.12,3.922,6.093,9.481,9.369,11.709,5.592,2.395,7.353,6.384,9.716,6.42,31.205,1.829,3.943,17.588,15.76,11.817,6.253,6.061,12.245,2.381,7.867,9.889,9.237,5.098,18.023,16.422,12.81,6.753
"S154","n.twin",1,2,"carolinensis","m",58.86,1,4.1,6.35,3.7,5.867,9.273,9.044,11.518,5.576,2.617,7.185,6.281,9.655,7.211,30.358,1.738,4.118,18.105,16.366,12.249,9.104,6.856,8.087,2.327,7.825,9.345,8.864,5.438,18.523,16.956,13.11,9.525
"S155","n.twin",1,2,"carolinensis","f",47.96,1,2.2,4.96,2.606,4.549,7.071,7.016,9.093,4.207,1.784,5.237,4.365,7.2,4.774,23.319,1.435,2.523,12.389,10.954,8.43,4.231,4.62,8.812,2.628,6.448,7.667,7.045,3.854,12.801,11.506,9.261,4.649
"S156","n.twin",1,2,"carolinensis","f",49.39,1,1.8,4.67,3.06,5.136,7.731,7.357,9.331,4.461,1.814,5.812,4.932,7.484,4.759,25.258,1.292,2.515,12.578,11.286,8.771,4.353,4.711,9.858,2.652,5.849,7.343,6.94,4.079,12.913,11.807,9.508,4.807
"S157","n.twin",1,2,"carolinensis","m",55.78,1,2.7,5.57,3.745,5.519,8.93,8.69,10.934,4.714,2.053,6.683,5.824,8.981,5.609,29.128,1.518,3.468,15.747,14.229,10.76,5.801,5.317,10.725,2.366,6.952,8.431,8.099,4.597,16.126,14.794,11.557,6.24
"S164","yin",1,1,"carolinensis","f",46.75,1,2.2,4.85,2.792,4.703,7.154,7.021,9.205,5.032,1.991,5.183,4.527,7.381,4.933,23.854,1.204,2.623,12.168,10.964,8.34,4.321,4.331,8.513,2.54,5.633,7.182,6.752,3.956,12.49,11.472,9.081,4.752
"S166","yin",1,1,"carolinensis","m",59.98,1,3.6,6.12,3.509,5.378,8.67,8.373,10.588,5.055,2.367,6.945,5.679,8.87,6.426,28.145,1.551,3.569,17.242,15.691,12.122,6.609,5.859,11.385,2.264,7.74,9.187,9.336,5.217,17.671,16.371,12.963,7.105
"S169","yin",1,1,"carolinensis","m",54.43,1,2.5,5.6,2.64,4.492,7.04,6.943,9.274,4.832,2.024,5.691,4.695,7.451,5.757,23.446,1.203,3.087,13.918,12.715,9.628,4.722,5.247,9.366,2.171,6.54,8.006,7.822,4.29,14.297,13.303,10.427,5.186
"S170","line.cedars",1,1,"carolinensis","f",46.67,1,2.2,5.07,2.747,4.518,7.108,6.972,9.121,4.595,1.536,5.214,4.283,7.043,5.381,23.494,1.02,2.449,11.93,10.91,8.461,4.045,4.785,9.313,2.311,5.918,7.282,7.277,3.604,12.291,11.501,9.212,4.428
"S172","line.cedars",1,1,"carolinensis","m",55.19,1,3,5.66,3.421,5.486,8.519,8.415,10.443,4.716,2.106,6.55,5.658,8.828,6.057,27.869,1.583,3.153,15.135,13.552,10.399,5.664,5.127,10.884,2.317,7.352,8.454,8.647,4.527,15.575,14.225,11.225,6.1
"S173","line.cedars",1,1,"carolinensis","f",48.85,1,2.8,5.05,2.702,4.623,7.388,7.298,9.466,5.146,1.866,5.512,4.874,7.251,5.682,24.179,1.188,2.562,12.365,11.177,8.615,4.116,4.819,9.609,2.294,6.074,7.512,7.365,4.061,12.733,11.768,9.398,4.59
"S177","line.cedars",1,1,"carolinensis","f",45.84,1,1.9,4.6,2.983,4.73,7.114,7.045,9.323,4.786,1.882,5.463,4.788,7.285,4.953,24.15,1.114,2.258,11.823,10.709,8.451,4.247,4.494,8.193,2.242,5.813,6.897,7.017,3.735,12.175,11.27,9.128,4.639
"S194","hook",1,2,"carolinensis","m",53.83,1,2.7,5.34,3.398,5.049,8.321,8.24,10.557,4.686,1.996,6.13,5.677,8.115,5.547,27.325,1.614,3.176,15.302,13.687,10.511,5.565,5.253,10.908,2.176,7.027,8.016,8.394,4.477,15.7,14.316,11.249,5.998
"S196","hook",1,2,"carolinensis","m",52.77,1,2.6,5.33,3.22,5.023,8.235,7.994,9.819,4.552,1.959,6.173,5.484,8.116,5.735,26.297,1.6,3.042,14.838,13.237,10.195,5.447,5.145,10.93,2.441,7.357,8.33,8.26,4.369,15.287,13.867,11.013,5.868
"S197","hook",1,2,"carolinensis","f",46.1,1,1.7,4.51,2.782,4.286,7.156,6.925,9.041,4.447,1.572,5.392,4.811,6.982,4.628,23.265,1.234,2.498,11.989,10.755,8.257,3.928,4.583,8.446,2.483,5.605,6.734,6.994,3.734,12.312,11.309,8.917,4.349
"S200","hook",1,2,"carolinensis","f",47.4,1,1.8,4.99,3.15,4.573,6.98,6.9,8.999,4.831,1.877,5.318,4.66,6.843,5.096,23.702,1.406,2.308,12.428,11.022,8.714,4.242,4.726,8.698,2.5,6.302,6.909,7.337,3.861,12.821,11.617,9.374,4.661
"S203","yin",1,1,"carolinensis","f",51.98,1,2.7,5.32,2.743,4.64,7.427,7.151,9.874,5.069,1.796,5.537,4.936,7.689,5.536,24.684,1.398,2.486,13.097,11.699,9.213,4.453,5.036,9.512,2.281,6.39,7.558,7.183,4.265,13.481,12.238,9.958,4.938
"S207","s.twin",0,0,"carolinensis","f",48.58,1,2.1,4.68,2.569,4.502,7.269,6.99,9.467,4.639,1.887,5.576,4.669,7.418,5.038,23.807,1.397,2.51,12.179,10.782,8.273,4.001,4.613,9.072,2.315,6.06,6.967,6.946,3.484,12.551,11.328,8.976,4.364
"S208","s.twin",0,0,"carolinensis","m",55.09,1,2.8,5.5,3.012,5.052,8.105,7.728,10.042,4.819,2.002,5.937,5.436,8.26,5.821,26.211,1.104,3.654,15.582,14.478,10.825,5.885,5.313,11.438,2.06,6.813,8.567,8.425,4.659,15.95,15.079,11.642,6.329
"S210","s.twin",0,0,"carolinensis","m",57.37,1,3.3,5.2,3.332,5.327,8.625,8.522,10.849,4.881,2.057,6.422,5.638,8.975,5.556,28.133,1.832,3.586,16.38,14.549,10.963,6.083,5.347,11.515,2.435,7.512,9.184,8.872,4.815,16.806,15.21,11.886,6.542
"S215","yang",1,2,"carolinensis","f",49.29,1,2.5,4.77,2.808,4.451,7.049,6.99,9.236,4.585,1.799,5.243,4.342,7.116,5.078,23.544,1.332,2.652,12.616,11.284,8.631,4.39,4.62,8.984,2.521,6.167,7.622,7.17,3.96,12.987,11.84,9.435,4.816
"S218","yang",1,2,"carolinensis","f",46.62,1,2,4.7,2.726,4.242,6.856,6.765,8.707,4.581,1.773,4.899,4.412,6.601,4.67,22.531,1.202,2.181,11.547,10.345,8.164,4.069,4.384,8.438,2.381,5.868,7.009,6.724,3.886,11.914,10.878,8.885,4.509
"S220","yang",1,2,"carolinensis","m",58.03,1,3.4,5.83,3.455,5.278,8.822,8.832,11.269,4.861,2.332,6.437,5.811,9.188,5.917,28.824,1.625,3.595,16.352,14.727,11.132,5.81,5.667,12.179,2.448,7.004,8.667,8.574,4.783,16.722,15.338,11.945,6.283
"S221","yang",1,2,"carolinensis","f",45.93,1,1.8,4.5,2.688,4.276,6.8,6.806,8.887,4.061,1.656,5.067,4.409,6.968,4.895,22.651,1.145,2.238,11.342,10.198,7.959,3.926,4.284,8.491,2.229,5.628,6.74,6.615,3.857,11.686,10.721,8.643,4.374
"S222","yang",1,2,"carolinensis","m",55.15,1,3.3,5.74,3.338,5.305,8.337,8.244,10.81,4.559,2.304,6.213,5.397,8.517,5.792,27.79,1.726,3.226,15.681,13.955,10.73,5.669,5.425,10.924,2.268,6.056,8.205,7.846,4.296,15.971,14.496,11.487,6.063
"S223","yang",1,2,"carolinensis","f",49.86,1,2.1,4.84,3.033,4.573,7.224,7.088,9.776,4.857,1.88,5.471,4.643,7.935,4.917,24.606,1.199,2.493,12.663,11.464,8.972,4.596,4.626,8.226,2.398,5.954,7.408,7.194,4.418,13.009,12.015,9.706,5.099
"S224","yang",1,2,"carolinensis","m",56.78,1,3.5,6.02,3.224,5.512,8.743,8.837,10.842,4.949,2.141,6.414,5.753,8.961,5.883,28.321,1.862,3.431,16.638,14.776,11.345,5.911,5.774,11.628,2.294,7.348,8.865,8.58,4.956,17.039,15.386,12.18,6.41
"S225","yang",1,2,"carolinensis","m",55.03,1,3,5.95,3.448,5.219,8.358,8.637,10.954,4.998,2.092,6.85,5.895,8.518,5.77,27.979,1.297,3.386,15.369,14.073,10.687,5.3,5.688,10.56,2.129,7.281,8.771,8.473,5.113,15.795,14.697,11.551,5.885
"S226","yang",1,2,"carolinensis","m",53.27,1,2.7,5.39,3.208,4.592,8.245,8.079,10.829,4.675,1.837,6.004,5.714,8.4,5.328,26.874,1.297,3.009,14.481,13.184,10.175,5.254,5.275,10.718,2.383,6.683,7.932,7.657,4.135,14.861,13.728,10.92,5.646
"S227","yang",1,2,"carolinensis","f",57.18,1,1.9,4.56,2.581,4.179,6.609,6.574,8.605,4.641,1.543,4.88,4.237,7.058,4.449,21.974,0.789,2.368,11.351,10.563,8.195,3.959,4.467,9.165,2.295,5.164,6.66,6.513,3.848,11.641,11.053,8.846,4.402
"S228","yang",1,2,"carolinensis","f",48.54,1,2.1,5.21,3.122,4.257,7.506,7.31,9.209,4.771,1.787,5.192,4.413,7.359,4.727,24.094,1.167,2.623,12.258,11.09,8.467,4.173,4.606,8.644,2.38,5.545,7.115,6.836,3.79,12.567,11.605,9.184,4.583
"S230","osprey",0,0,"carolinensis","m",55.77,1,3,5.32,3.202,5.105,8.472,8.435,10.245,4.56,2.012,6.226,5.587,8.72,5.601,27.024,1.667,3.31,15.699,14.032,10.722,5.779,5.295,11.056,2.507,7.193,8.553,8.488,4.759,16.105,14.66,11.543,6.25
"S231","osprey",0,0,"carolinensis","f",46.7,1,2.1,4.4,2.599,4.111,6.487,6.264,8.338,4.477,1.678,4.804,4.003,6.877,5.204,21.535,0.991,2.179,10.949,9.958,7.779,3.8,4.171,8.246,2.505,5.418,6.146,6.426,3.65,11.28,10.464,8.364,4.216
"S232","osprey",0,0,"carolinensis","f",46.3,1,1.8,4.49,2.703,4.24,6.845,6.905,8.739,4.659,1.659,4.961,4.381,6.996,4.991,22.527,1.172,2.514,12.258,11.086,8.571,4.552,4.223,9.239,2.458,5.525,6.515,6.667,3.927,12.565,11.576,9.169,4.958
"S233","osprey",0,0,"carolinensis","f",45.97,1,1.6,4.29,2.662,4.489,6.9,6.762,8.144,4.049,1.792,5.337,4.473,6.642,4.785,22.195,1.089,2.215,11.662,10.573,8.358,4.296,4.27,8.753,2.428,4.552,6.445,6.352,3.811,11.882,11.04,8.958,4.7
"S235","osprey",0,0,"carolinensis","m",58.73,1,3,6.13,3.655,5.511,8.85,8.963,11.337,4.998,2.189,6.853,5.951,9.482,6.572,29.353,1.781,3.399,16.989,15.208,11.809,6.272,5.9,11.879,2.035,6.881,8.684,8.271,4.642,17.334,15.76,12.582,6.688
"S236","crescent",0,0,"carolinensis","m",59.48,1,4.4,6.29,3.863,5.97,9.142,9.154,11.401,5.503,2.35,6.958,6.053,9.543,6.695,30.376,2.027,3.233,17.166,15.139,11.906,6.137,6.197,12.048,2.378,8.315,9.447,9.353,4.922,17.663,15.845,12.809,6.612
"S237","crescent",0,0,"carolinensis","m",57.03,1,4,6.09,3.524,5.547,8.632,8.421,10.565,4.952,2.242,6.383,5.683,8.796,6.423,28.268,1.563,3.651,15.538,13.975,10.324,5.115,5.649,11.46,2.575,7.49,9.292,8.719,4.919,15.983,14.639,11.321,5.676
"S238","crescent",0,0,"carolinensis","m",57.83,1,4.1,6.09,3.642,5.654,9.007,8.815,11.229,5.423,2.304,6.646,5.653,9.213,6.656,29.532,1.526,3.715,16.288,14.762,11.047,5.716,5.804,11.43,2.286,7.048,9.24,8.857,4.667,16.665,15.412,11.974,6.174
"S239","crescent",0,0,"carolinensis","m",58.47,1,3.9,6,2.978,5.222,8.693,8.666,10.689,5.22,2.068,6.692,5.64,8.8,6.601,27.582,1.952,3.81,16.952,15,11.19,6,5.813,11.999,2.478,8.001,9.523,9.142,4.285,17.417,15.681,12.161,6.371
"S240","crescent",0,0,"carolinensis","f",48.7,1,2.5,5.02,2.908,4.624,7.168,7.209,9.046,5.076,1.696,5.698,4.482,7.413,5.316,23.746,1.485,2.45,12.549,11.064,8.614,4.278,4.684,9.269,2.566,6.703,7.418,7.481,3.889,12.989,11.679,9.379,4.699
"S241","crescent",0,0,"carolinensis","m",58.71,1,4.3,6.06,3.397,5.401,8.689,8.608,10.822,4.934,2.115,6.603,5.685,8.814,6.628,28.309,1.869,3.551,16.446,14.577,11.026,6.215,5.292,11.4,2.336,7.758,9.157,8.877,4.766,16.897,15.238,11.939,6.657
"S242","crescent",0,0,"carolinensis","m",59.44,1,3.9,6.18,3.315,5.289,8.74,8.68,11.164,5.124,2.036,6.744,6.053,9.129,6.908,28.508,1.855,3.668,17.098,15.243,11.574,6.627,5.473,12.474,2.222,8.391,9.437,9.337,4.769,17.605,15.942,12.499,7.043
"S243","crescent",0,0,"carolinensis","m",57.47,1,3.6,5.84,3.418,5.563,8.472,8.397,10.637,4.717,2.17,6.457,5.71,8.717,6.057,28.09,1.773,3.399,16.576,14.803,11.405,6.611,5.231,12.058,2.388,8.489,9.498,9.358,5.313,17.111,15.525,12.354,7.125
"S245","crescent",0,0,"carolinensis","m",56.76,1,3.3,5.99,3.438,5.431,8.708,8.552,11.07,5.443,2.267,6.68,5.944,9.072,6.375,28.647,1.784,3.565,16.617,14.833,11.268,6.218,5.554,12.132,2.315,7.696,9.045,9.141,4.423,17.057,15.521,12.142,6.6
"S246","n.twin",1,2,"carolinensis","f",50.54,1,2.6,5.29,3.098,4.933,7.862,7.962,10.143,5.135,2.055,5.95,4.955,8.035,5.342,26.036,1.359,2.749,12.878,11.519,8.77,4.263,4.834,10.006,2.501,6.582,7.668,7.369,4.174,13.292,12.094,9.572,4.746
"S247","n.twin",1,2,"carolinensis","m",58.45,1,3.7,5.8,3.406,5.248,8.783,8.724,11.172,5.048,2.081,6.516,5.61,8.929,6.208,28.609,1.716,3.65,16.528,14.811,11.162,6.197,5.433,11.602,2.018,7.568,9.072,8.526,4.67,16.955,15.413,12.048,6.623
"S248","n.twin",1,2,"carolinensis","m",59.2,1,3.6,5.96,3.809,6.04,9.373,9.305,11.541,5.159,2.306,6.836,6.155,9.162,6.493,30.763,1.967,3.361,17.478,15.51,12.15,6.602,5.919,11.912,2.108,7.697,9.246,9.303,5.118,17.896,16.193,13,7.081
